,Phrase,Prompt,stemmed_phrase
0,,emotional pain,when i rememb her i feel down
1,,heart hurts,there is too much pain when i move my arm
2,,infected wound,my son had his lip pierc and it is swollen and the skin insid on his lip is grey and look infect
3,,infected wound,my muscl in my lower back are ach
4,,foot ache,i have muscl pain that my back i have muscl pain at my back leg
5,,shoulder pain,i have muscl pain in my left leg
6,,injury from sports,i have cut my finger becaus of play footbal and i have to appli pain relief cream but it doe not help
7,,skin issue,i have acn in my face and other problem in my derma like itch
8,,foot ache,i have a strang rash on my arm
9,,stomach ache,i have a sharp pain in my lower stomach
10,,knee pain,i have a knee pain when i walk a lot
11,,heart hurts,dr i feel a strang and power pain insid my rib cage
12,,joint pain,do not cri
13,,heart hurts,i have for dia
14,,hard to breath,i use to be out of breath after go up a dozen of stair but now i struggl to breath even when i sit down
15,,hard to breath,i feel that it is hard to breath for me special after run or make ani effort
16,,head ache,i read a book for along time and when i finish read i feel head ach
17,,injury from sports,i cant sleep becaus of cold
18,,skin issue,my infect wound caus fever
19,,body feels weak,i lose a lot of my hair
20,,feeling dizzy,i feel dizzi after sever diarrhea
21,,back pain,i feel a pain in my back
22,,open wound,lacer ruptur or open in the skin
23,,back pain,my back hurt me and i can not bend it or walk
24,,head ache,my head hurt whenev i tri to do someth
25,,skin issue,i have dark spot on my skin
26,,internal pain,i feel a sharp pain in my stomach
27,,body feels weak,i can not do anyth i feel a weak in my bodi
28,,blurry vision,i have cloudi eye
29,,back pain,i have a back pain sinc i turn 70 year old
30,,blurry vision,i tri to put my glass to see more clear but cant find ani chang
31,,acne,i feel deep tingl when i touch acn follow by bad sensat
32,,acne,my acn get wors when it is hot
33,,hard to breath,sometim i feel like a claw on my chest that leav me breathless
34,,muscle pain,my abdomin muscl have great pain sinc i was at gym
35,,injury from sports,my back got injur while i was lift at the gym
36,,joint pain,my ankl is hurt me
37,,infected wound,i think my wound is infect
38,,knee pain,i feel pain in my knee
39,,skin issue,my skin is veri dri and peel
40,,shoulder pain,i can not move my shoulder becaus of pain
41,,feeling dizzy,when i wake up in the morn i feel dizzi
42,,hair falling out,my hair is fall out in huge amount
43,,neck pain,i have a sharp pain in my neck
44,,muscle pain,there is pain in the muscl i do not know caus
45,,hard to breath,i have a problem in the expir becaus i have abronchi asthma
46,,feeling dizzy,everi time i make an effort i felt dizzi
47,,neck pain,i have a power pain insid my neck
48,,internal pain,i have a pain intern
49,,acne,chronic diseas of hair follicl and sebac gland
50,,emotional pain,i feel a huge emot pain after i broke up with my girlfriend
51,,feeling dizzy,when i stand up too quick i start to feel dizzi and light-head
52,,heart hurts,i often get a sharp pain in my chest and i can not tell what i am do that might be trigger it
53,,joint pain,i have a feel like my whole bodi is complain
54,,knee pain,my knee hurt when i play squash
55,,blurry vision,i can not see well
56,,skin issue,i tri alot of cream but i still feel the same skin problem
57,,shoulder pain,it feel like someon stuck a knife into my shoulder
58,,muscle pain,i feel a burn sensat in my shoulder muscl
59,,open wound,i cut my foot at the pool and it break open everi day when i walk on it
60,,knee pain,my knee catch and hurt when i first stand up after sit
61,,infected wound,i cut my hand a coupl of week ago and even though i keep use an antibiot cream it is not get better
62,,shoulder pain,i feel pain in my shoulder when i write on the keyboard
63,,blurry vision,i have a problem in see object it is too difficult to see
64,,open wound,glass broken and wound my leg bad the wound is so wide
65,,blurry vision,i have a blurri vision dure my swim train in the pool whi
66,,foot ache,i love to walk and be outsid but the bottom of my feet get sore so quick
67,,joint pain,i feel pain in my knee when i climb the stair
68,,body feels weak,i get tire too fast i can bare put on my cloth in the morn
69,,knee pain,my knee hurt when i walk
70,,neck pain,i can not rotat my neck
71,,infected wound,my son nick his neck with an old razor and that spot has becom inflam and look like it is infect
72,,back pain,i have a problem in my back i cannot extend it
73,,foot ache,i can not walk becaus i have a great foot ach
74,,heart hurts,my heart is beat fast and it scare me
75,,acne,i use to have acn when i was 15 year old
76,,muscle pain,my muscl in my lower back are ach
77,,muscle pain,my shoulder muscl hurt when i tri to reach up
78,,heart hurts,i feel heart pain when i walk a lot
79,,skin issue,my skin is itchi and inflam
80,,cough,i have a cold and it make me cough alot
81,,cough,i have a dri throat
82,,ear ache,i am not hear well i have problem with my ear
83,,foot ache,my foot is hurt so much
84,,hair falling out,my shower drain is full of hair everi time
85,,head ache,i have front head pain and when i get it the light bother me
86,,acne,even though i am an adult my face keep break out in pimpl
87,,body feels weak,when i get out of bed in the morn my bodi feel veri weak
88,,infected wound,surgic wound red fire pus pain and hot to the touch
89,,joint pain,feel like someth is be jab into my joint
90,,foot ache,the arch of my feet hurt when i wear heel
91,,back pain,i feel pain in the lower back
92,,head ache,i have a dull ach in my head
93,,neck pain,i feel a pain in my neck
94,,internal pain,i have pain but i can not specifi place
95,,ear ache,i have an ear ach that will not go away i do not have a cold or headach or ani other symptom just an earach
96,,joint pain,i feel joint pain everi time i move
97,,stomach ache,i have a hard pain in my stomach
98,,ear ache,my left ear is ok but the right one feel like it is be stab with a nail
99,,muscle pain,i need a kind of cream wich make my muscl more relax
100,,back pain,i have a back pain sinc i fell on the floor
101,,feeling dizzy,i feel lighthead
102,,internal pain,my bodi ach on the insid between my hip and shoulder
103,,foot ache,i have a foot ach after run 500m with my run shoe
104,,feeling cold,i was diagnos with b12-defici anemia which explain whi i alway felt cold
105,,emotional pain,i feel hurt lot of pain in my heart
106,,acne,i break out on my face veri frequent
107,,body feels weak,i have tri to relief it but i can not
108,,injury from sports,i stop sport becaus i get injuri from sport
109,,cough,everi time i take a deep breath i start cough
110,,joint pain,when i extend my leg there is pain in knee joint
111,,head ache,my head hurt me bad
112,,hair falling out,when i was wash my hair it was fall out heavili
113,,acne,i hate my acn
114,,joint pain,i have pain like needl in my joint
115,,heart hurts,i have a great pain in my thorax from heart injuri
116,,emotional pain,i do not know whi i am constant sad
117,,neck pain,i feel pain in my neck
118,,body feels weak,my muscl feel tire
119,,stomach ache,i feel pain in my stomach
120,,foot ache,i have a foot ach in winter or when it feel cold whi
121,,back pain,my back is hurt so much
122,,muscle pain,the pain feel like it is right below the skin
123,,knee pain,i am struggl to bear weight on my knee when i stand straight i feel and hear a loud pop nois
124,,muscle pain,there is a sharp pain in my bicep i have tri to appli pain relief cream but it doe not help
125,,cough,my child has cough all night she can not sleep
126,,feeling dizzy,i feel dizzi when i set in-front of my laptop for an hour or two what possibl could be the reason
127,,back pain,when i play sport i have some burn sensat in my spine
128,,muscle pain,i have a hard muscl pain sinc i went to the gym
129,,hair falling out,my hair fall out
